,Rank,Last Year's Rank,Average Annual pay per player,% change from last year's survey,Total Payroll,Rank of Total Payroll,Average player 5 year earnings,% change over last 5 years,Team,League
98,99,112,2508600,7.4,62715000,114,11270896.0,21.0,Carolina Hurricanes,NHL
99,100,139,2490997,19.1,77220900,79,10274160.0,70.0,Oakland Athletics,MLB
100,101,99,2488600,0.9,62215000,119,12400596.0,7.0,Washington Capitals,NHL
101,102,88,2484453,-6.6,62111320,121,,,Valencia,La Liga
102,103,63,2478125,-26.1,6100000,250,16717584.0,-36.0,Kings XI Punjab,IPL
103,104,111,2467660,5.1,64159167,109,10363912.0,30.0,St Louis Blues,NHL
104,105,93,2456452,-4.5,76150000,80,12233624.0,4.0,Pittsburgh Penguins,NHL
105,106,117,2447917,8.2,58750000,136,10875852.0,35.0,Dallas Stars,NHL
106,107,135,2440184,15.2,65884960,102,,,Bayer Leverkusen,Bundesliga
107,108,72,2436625,-17.5,58479000,137,,,Werder Bremen,Bundesliga
108,109,73,2431002,-15.4,60775039,127,11160968.0,74.0,Sunderland,EPL
109,110,125,2427800,10.4,60695000,128,12086932.0,-10.0,Toronto Maple Leafs,NHL
110,111,101,2390896,-2.8,59772400,129,,,Wolfsburg,Bundesliga
111,112,118,2360048,4.5,59001195,135,,,Stoke,EPL
112,113,149,2342918,16.1,60915872,125,,,Stuttgart,Bundesliga
113,114,131,2339583,8.9,56150000,142,10225436.0,42.0,Phoenix Coyotes,NHL
114,115,153,2315053,15.5,122697830,23,11679668.0,2.0,Minnesota Vikings,NFL
115,116,162,2303317,26.0,122075805,24,10627968.0,43.0,Seattle Seahawks,NFL
116,117,127,2301740,5.7,57543488,138,,,West Bromwich Albion,EPL
117,118,113,2296769,-0.6,59716000,131,10013536.0,19.0,Winnipeg Jets,NHL
118,119,97,2294519,-8.5,59657500,132,11233456.0,7.0,Anaheim Ducks,NHL
119,120,103,2264790,-7.6,63414125,112,11542232.0,14.0,Tampa Bay Lightning,NHL
120,121,107,2235822,-6.4,118498578,25,11523876.0,2.0,Chicago Bears,NFL
121,122,89,2234896,-15.0,53637500,146,12668292.0,-7.0,Buffalo Sabres,NHL
122,123,124,2225000,0.9,53400000,147,9461192.0,22.0,Colorado Avalanche,NHL
123,124,102,2222200,-9.5,55555000,143,10869248.0,-2.0,Edmonton Oilers,NHL
124,125,110,2213884,-5.7,117335842,26,9810580.0,37.0,Denver Broncos,NFL
125,126,128,2212315,1.8,59732500,130,11082396.0,11.0,New Jersey Devils,NHL
126,127,137,2211771,4.5,53082500,148,11403080.0,-12.0,Ottawa Senators,NHL
127,128,164,2198933,20.7,59371200,134,,,Hamburg,Bundesliga
128,129,130,2196009,1.5,63684275,111,10805028.0,11.0,Columbus Blue Jackets,NHL
129,130,145,2195643,7.8,116369072,27,11529544.0,-2.0,New Orleans Saints,NFL
130,131,),2186148,,54653688,145,9759464.0,-20.0,West Ham,EPL
131,132,105,2171845,-10.4,115107799,28,9889256.0,45.0,Kansas City Chiefs,NFL
132,133,152,2155103,7.5,114220438,29,10318464.0,-4.0,Tennessee Titans,NFL
133,134,132,2153098,0.3,114114214,30,10799620.0,35.0,Green Bay Packers,NFL
134,135,134,2138436,0.3,113337103,31,10756408.0,11.0,Philadelphia Eagles,NFL
135,136,141,2113136,0.9,52828406,150,,,Sevilla,La Liga
136,137,142,2095226,1.0,111046989,34,11575980.0,1.0,Pittsburgh Steelers,NFL
